,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms,is_explict_content
5430,spotify:track:28clONjZmul6FjfO6tZQDE,Metal Health (Bang Your Head),Quiet Riot,62,1325501,"('album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock')",Metal Health,64,0.494,0.933,-5.977,121.201,316867,0.0
5431,spotify:track:6v3UX3KGvhYwphqipOO84l,Black Diamond - Remastered 2016,Stratovarius,57,490961,"('finnish power metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal')",Best Of (Remastered),50,0.391,0.991,-5.934,149.863,341000,0.0
5432,spotify:track:5ZIU2kT1wNjQNclQeVCz5O,Modern Day Cowboy,Tesla,57,712660,"('album rock', 'classic rock', 'glam metal', 'hard rock', 'rock', 'sacramento indie')",Mechanical Resonance,59,0.445,0.768,-8.836,112.796,318227,0.0
5433,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,T.N.T.,AC/DC,84,21774222,"('australian rock', 'hard rock', 'rock')",High Voltage,78,0.754,0.759,-5.218,126.366,214667,0.0
5434,spotify:track:4ie42LCUKcp68EnZOMw9PG,Wheels of Steel - 2009 Remastered Version,Saxon,54,436851,"('album rock', 'glam metal', 'hard rock', 'metal', 'nwobhm', 'power metal', 'rock')",Wheels of Steel (2009 Remastered Version),53,0.539,0.783,-6.651,131.374,358698,0.0
5435,spotify:track:1OwcckpLpQLDrAkBKYLEAX,Fool for Your Loving - 2011 Remaster,Whitesnake,68,2224064,"('album rock', 'british blues', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock')",Ready an' Willing (2013 Remaster),52,0.597,0.92,-5.933,122.417,259067,0.0
5437,spotify:track:3Rtv6zRNKpeSygXoaF9kCm,Beyond the Realms of Death,Judas Priest,69,2955656,"('album rock', 'birmingham metal', 'hard rock', 'metal', 'power metal', 'rock')",Stained Class,56,0.287,0.716,-5.653,172.123,409800,0.0
5438,spotify:track:2tfJfHUDg7w1FuiIoXuDVw,Fight Fire With Fire - Remastered,Metallica,84,19928691,"('hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal')",Ride The Lightning (Deluxe / Remastered),0,0.283,0.988,-7.017,90.791,284507,0.0
5439,spotify:track:1zFarlqzxsE9I3QiwrdwJN,Fast As A Shark,Accept,62,698940,"('album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal')",Restless And Wild,45,0.434,0.92,-14.802,139.803,229867,0.0
5440,spotify:track:4JrvsfwMdWJyEbV0DDZTtd,Wasted,Def Leppard,72,3545389,"('album rock', 'hard rock', 'nwobhm', 'rock')",On Through The Night,47,0.247,0.963,-6.539,176.364,225227,0.0
