,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms
2767,2767,spotify:track:0nwUtqy8TOnRahAzCmL42A,Angel Number,"Beats Me, Innit?",43,37,(),Angel Number,55,0.757,0.434,-12.707,114.907,146129
2768,2768,spotify:track:32tT51UcINiBPpJ7qqR20p,My Secret Glade,Slow Fidelity,31,39,(),My Secret Glade,45,0.785,0.0861,-15.528,80.012,126254
2769,2769,spotify:track:6TsfMWf0hyOq0ReOC1tPo2,Essence,Wishard,38,7,(),Essence,45,0.547,0.0903,-17.138,74.006,156487
2770,2770,spotify:track:7wBChE1IqPBNbEEq3SGtnW,Floweret,Dusty Decks,47,2282,"('study beats',)",Floweret,44,0.548,0.333,-11.856,77.021,141568
2771,2771,spotify:track:3c3jI74itmDwKH8wvYgncz,Forever Would Not Be Long Enough,Featherfail,30,2,(),The Happiness Conundrum,44,0.523,0.293,-15.132,143.094,161250
2772,2772,spotify:track:7DgiTzkm5OcTlD4vYLmGS9,Drift,Revoir,46,597,(),Drift,53,0.702,0.184,-15.486,143.998,123333
2773,2773,spotify:track:6a3UWWhZheDHZMi8hBLKgn,Cold Pillows,Tailwinds,30,3,(),Softer,45,0.349,0.114,-17.348,70.01,200625
2774,2774,spotify:track:0sOSilCF5RocChd0YCh5cm,Flora,Ricardo Schneider,53,869,"('focus beats', 'lo-fi brasileiro')",Flora,52,0.723,0.333,-12.826,140.048,155500
2775,2775,spotify:track:4dD5fQxc6WalPeAsp6QI9U,after after hours,Dondie,30,32,(),after after hours,45,0.671,0.217,-14.264,87.031,129920
2776,2776,spotify:track:0Z4O3yTtmqdLXzCxSX9XPt,Candy Clouds,Airship River,38,6,(),Lemo,50,0.569,0.117,-19.886,139.96,192009
2777,2777,spotify:track:0QIlgmnJBsd6zkH9u7MEcX,Dinner is Ready,Louk,60,1760,"('lo-fi jazzhop',)",Dinner is Ready,59,0.615,0.128,-16.44,82.012,147622
2778,2778,spotify:track:6qdYRJZesimF7fPkTaGSFL,Lego,Gibbon Baby,42,16,(),Lego,54,0.68,0.217,-21.808,115.305,124870
2779,2779,spotify:track:6jJBknUUKqZwflphORsoZb,builder home,kudo,56,2927,(),love you two,50,0.569,0.384,-22.031,108.004,171111
2780,2780,spotify:track:3nhzAqz5Asv0avIhJ1g63u,twin planet,phonadium,39,16,(),twin planet,53,0.608,0.403,-12.66,144.066,106667
2781,2781,spotify:track:0AaQgKARIKwxBYUrS3qXdW,Euphoric,Arcade Portal,37,79,(),Euphoric,43,0.579,0.0745,-21.251,84.026,117143
2782,2782,spotify:track:3rtsPORAAssL2z26CZl9Qe,Counting Sheep,Guustavv,54,11347,"('lo-fi beats',)",Counting Sheep,53,0.605,0.258,-12.793,63.996,188250
2783,2783,spotify:track:6vDkLO9STbIiD5fvnoV3m0,Red Lotus,All In One Day,29,32,(),Red Lotus,43,0.407,0.243,-14.313,111.525,124138
