,artist_name,origin
798,The Mark Inside,Canada
799,Chore,Canada
800,The Henrys,Canada
801,Reset,Canada
802,Axis of Advance,Canada
803,Les Breastfeeders,Canada
804,The Other Children,Canada
805,Equinox,Canada
806,The Fully Down,Canada
807,The Paperboys,Canada
808,Young Canadians,Canada
809,Criollo,Canada
810,Plaster,Canada
811,The Gorgeous,Canada
812,The Bird Sang Song,Canada
813,Precious Fathers,Canada
814,After the Anthems,Canada
815,Et Sans,Canada
816,Sylvie,Canada
817,Jet Set Satellite,Canada
818,The Paperbacks,Canada
819,7th Reign,Canada
820,A Spectre is Haunting Europe,Canada
821,Midpoint,Canada
822,Boulevard,Canada
823,The Essentials,Canada
824,Vromb,Canada
825,Mute,Canada
826,Thebleedingalarm,Canada
827,Secret Trial Five,Canada
828,Negativa,Canada
829,Daniel Wesley,Canada
830,Chuckie Akenz,Canada
831,Five Star Affair,Canada
832,Rom Di Prisco,Canada
833,Mother Mother,Canada
834,Jack Syperek,Canada
835,Craig Sharpe,Canada
836,Rawlins Cross,Canada
837,Carey Mercer,Canada
838,Mitch MacDonald,Canada
839,2 Stone 2 Skank,Canada
840,sHeavy,Canada
841,Iszoloscope,Canada
842,Wave,Canada
843,Miranie Morissette,Canada
844,Aaron Colbourne,Canada
845,The Arrogant Worms,Canada
846,Antigen Shift,Canada
847,The Tear Garden,Canada
848,d.b.s.,Canada
849,You Say Party,Canada
850,Saddle River String Band,Canada
851,Ryan's Fancy,Canada
852,Soma Sonic,Canada
853,Eidolon,Canada
854,The Browns,Canada
855,Fan Death,Canada
856,Razor,Canada
857,Swan Lake,Canada
858,Lights Below,Canada
859,...Of Tanz Victims,Canada
860,Bonjour Brumaire,Canada
861,Sloche,Canada
862,Metallica,Los Angeles
863,Red Hot Chili Peppers,Los Angeles
864,P!nk,Los Angeles
865,Guns N' Roses,Los Angeles
866,Cher,Los Angeles
867,Jim Morrison,Los Angeles
868,Miley Cyrus,Los Angeles
869,The Doors,Los Angeles
870,Rage Against the Machine,Los Angeles
871,Tom Petty and the Heartbreakers,Los Angeles
872,Megadeth,Los Angeles
873,Tool,Los Angeles
874,The Black Eyed Peas,Los Angeles
875,Mötley Crüe,Los Angeles
876,Etta James,Los Angeles
877,Axl Rose,Los Angeles
878,Weezer,Los Angeles
879,System of a Down,Los Angeles
880,The Eagles,Los Angeles
881,Beck Hansen,Los Angeles
882,Karen Carpenter,Los Angeles
883,Ice-T,Los Angeles
884,Jane's Addiction,Los Angeles
885,Maroon 5,Los Angeles
886,Suicidal Tendencies,Los Angeles
887,Randy Newman,Los Angeles
888,Bad Religion,Los Angeles
889,30 Seconds to Mars,Los Angeles
890,The Byrds,Los Angeles
891,Quiet Riot,Los Angeles
892,Jackson Browne,Los Angeles
893,Flogging Molly,Los Angeles
894,Buffalo Springfield,Los Angeles
895,Audioslave,Los Angeles
896,The Pharcyde,Los Angeles
897,Steppenwolf,Los Angeles
898,Three Dog Night,Los Angeles
899,Ritchie Valens,Los Angeles
900,Anthony Kiedis,Los Angeles
901,Adam Levine,Los Angeles
902,Belinda Carlisle,Los Angeles
903,Robin Thicke,Los Angeles
904,Natalie Cole,Los Angeles
905,NOFX,Los Angeles
906,LMFAO,Los Angeles
907,Toto,Los Angeles
908,Susanna Hoffs,Los Angeles
909,Dokken,Los Angeles
910,Hole,Los Angeles
911,Buckcherry,Los Angeles
912,The Bangles,Los Angeles
913,The Monkees,Los Angeles
914,L.A. Guns,Los Angeles
915,Ne-Yo,Los Angeles
916,Xzibit,Los Angeles
917,Slash,Los Angeles
918,Tyrese Gibson,Los Angeles
919,W.A.S.P.,Los Angeles
920,Warrant,Los Angeles
921,The Go-Go's,Los Angeles
922,Bread,Los Angeles
923,Tenacious D,Los Angeles
924,Flying Lotus,Los Angeles
925,Great White,Los Angeles
926,The Pussycat Dolls,Los Angeles
927,Maynard James Keenan,Los Angeles
928,Berlin,Los Angeles
929,Hollywood Undead,Los Angeles
930,The Carpenters,Los Angeles
931,Omarion,Los Angeles
932,Porno for Pyros,Los Angeles
933,Flea,Los Angeles
934,MURS,Los Angeles
935,Tracii Guns,Los Angeles
936,John Densmore,Los Angeles
937,The Wallflowers,Los Angeles
938,Tone-Lōc,Los Angeles
939,will.i.am,Los Angeles
940,Otep,Los Angeles
941,The Crystal Method,Los Angeles
942,Badlands,Los Angeles
943,Static‐X,Los Angeles
944,Sara Bareilles,Los Angeles
945,Love,Los Angeles
946,Jesse McCartney,Los Angeles
947,Mr. Mister,Los Angeles
948,Black Label Society,Los Angeles
949,Little Feat,Los Angeles
950,Fishbone,Los Angeles
951,Fear Factory,Los Angeles
952,Dilated Peoples,Los Angeles
953,Armored Saint,Los Angeles
954,The Turtles,Los Angeles
955,No Age,Los Angeles
956,Tom Morello,Los Angeles
957,Dweezil Zappa,Los Angeles
958,98 Degrees,Los Angeles
959,Katharine McPhee,Los Angeles
960,Kevin Federline,Los Angeles
961,Concrete Blonde,Los Angeles
962,Rilo Kiley,Los Angeles
963,Zooey Deschanel,Los Angeles
964,L7,Los Angeles
965,Woody Guthrie,Los Angeles
966,Terri Nunn,Los Angeles
967,Wilson Phillips,Los Angeles
968,Minutemen,Los Angeles
969,Steel Panther,Los Angeles
970,Allison Robertson,Los Angeles
971,The Distillers,Los Angeles
972,Aceyalone,Los Angeles
973,J. J. Fad,Los Angeles
974,Fort Minor,Los Angeles
975,Wicked Wisdom,Los Angeles
976,Silversun Pickups,Los Angeles
977,Dexter Gordon,Los Angeles
978,Crazy Town,Los Angeles
979,B2K,Los Angeles
980,The Chipmunks,Los Angeles
981,Body Count,Los Angeles
982,Stephen Perkins,Los Angeles
983,BulletBoys,Los Angeles
984,The Grass Roots,Los Angeles
985,Metro Station,Los Angeles
986,Goldfinger,Los Angeles
