,artist_name
871,Presley River
872,Samaki
873,Sophia Alexa
874,seiji oda
875,BLOWSOM
876,Kavale
877,Haiden
878,DR. GABBA
879,R.E.A.D
880,Temme Scott
881,Jay Cooper
882,Fia Moon
883,JUNES K
884,Philine Sonny
885,Oliver Keane
886,Tessa Rae
887,FINMAR
888,Spinline
889,Prozak
890,PROM
891,Scuti
892,Luke Chappell
893,Kennedy Rd.
894,Gio Genesis
895,Youth Sector
896,Gaby Harvey
897,Lady London
898,Brittany Campbell
899,FRVRFRIDAY
900,Sis
901,Jefferson
902,Boulevards
903,Prophet the Artist
904,Ed Hodge
905,benners
906,Dylan Sinclair
907,Lou From Paradise
908,Koji Nakamura
909,Dr. Dog
910,Celeste
911,AURORA
912,Angelo De Augustine
913,RY X
914,Valley Boy
915,Hundred Waters
916,Ayoni
917,flowerkid
918,Shungudzo
919,Whitney
920,Overcoats
921,Petey
922,Blaenavon
923,The Howl & The Hum
924,Samia
925,Tapes
926,Talos
927,Elizabeth
928,S. Carey
929,This Is The Kit
930,Luna Delirious
931,Lucy Dacus
932,Sorcha Richardson
933,Many Voices Speak
934,Junodream
935,Saint Sister
936,Pet Deaths
937,Jealous of the Birds
938,Rose Cousins
939,Jessica Pratt
940,Yo La Tengo
941,Micah P. Hinson
942,Charlotte Day Wilson
943,St. Panther
944,Nightmares On Wax
945,Elujay
946,Asiahn
947,Natty Reeves
948,Joe Hertz
949,Felbm
950,Common Saints
951,HNNY
952,Khruangbin
953,clear eyes
954,Mocky
955,vbnd
956,Durand Jones & The Indications
957,Gotts Street Park
958,Yellow Days
959,LOONY
960,Greentea Peng
961,Sunni Colón
962,Pip Millett
963,Chiiild
964,Pale Jay
965,Sirens Of Lesbos
966,Onyx Collective
967,Dan Kye
968,Mndsgn
969,Adeline
970,Rosie Lowe
971,Kenneth Whalum
972,Talibah Safiya
973,BLK ODYSSY
974,The Silhouettes Project
975,Otis Junior
976,Healy
977,Elina Filice
978,Elder Island
979,Odette Peters
980,Glenn Astro
981,Melodiesinfonie
982,Athletic Progression
983,Rosie Frater-Taylor
984,Joshua J
985,Nick Kurosawa
986,JGrrey
987,Biig Piig
988,Feiertag
989,Simpson
990,Menahan Street Band
991,The Twilite Tone
992,B. Fisher
993,Aquilo
994,Royce Wood Junior
995,FELIVAND
996,Jake Milliner
997,박혜진 Park Hye Jin
998,Magic City Hippies
999,Reginald Omas Mamode IV
1000,Jonah Yano
1001,duendita
1002,Dana McCoy
1003,SAULT
1004,Seba Kaapstad
1005,Kamaal Williams
1006,Mathieu Boogaerts
1007,Nubiyan Twist
1008,menace Santana
1009,Gambino La MG
1010,Gotti Maras
1011,Pirate
1012,Mig
1013,Siaka
1014,Brk
1015,MALTY 2BZ
1016,Kodes
1017,OMR
1018,Waïv
1019,Fresh laDouille
1020,ALP
1021,Lyms
1022,Popey
1023,DENZO
1024,Oskoow
1025,Kai Du M
